foundation_names,rating,verified_purchase,time_ago,shade,shade_depth,undertone,skin_type,skin_tone,eye_color,review_body,days_ago,clean_review_body
Armani Mini Luminous Silk,,No,,,,,,,,"fair, cool peach I’ve been using the new formula for a few weeks now. The texture is very thin and easy to blend with a damp sponge. It’s perfect for my [insert your skin type] skin because it doesn't feel heavy or cakey. It lasts about 8-10 hours on me before I need to touch up my T-zone with a little powder. My only gripe is the price tag, but a little goes a long way. If you want a natural, medium-coverage glow, this is the one Read more",,fair cool peach i ve been using the new formula for a few weeks now the texture is very thin and easy to blend with a damp sponge it s perfect for my insert your skin type skin because it doesn t feel heavy or cakey it lasts about hours on me before i need to touch up my t zone with a little powder my only gripe is the price tag but a little goes a long way if you want a natural medium coverage glow this is the one read more
Armani Mini Luminous Silk,2.0,Yes,2 d ago,,,,Oily,Light Medium,Brown,Verified Purchase 2 d ago Piles up and broke me out Sadly this foundation is very difficult to blend. It starts to pile up after the first application. It sadly also broke me out pretty bad. It added some of the cystic acne on my cheek and I’m sure it’s the niacinamide that’s in it. I will be returning..,2.0,verified purchase d ago piles up and broke me out sadly this foundation is very difficult to blend it starts to pile up after the first application it sadly also broke me out pretty bad it added some of the cystic acne on my cheek and i m sure it s the niacinamide that s in it i will be returning
Armani Mini Luminous Silk,,No,,,,,,,,Piles up and broke me out Sadly this foundation is very difficult to blend. It starts to pile up after the first application. It sadly also broke me out pretty bad. It added some of the cystic acne on my cheek and I’m sure it’s the niacinamide that’s in it. I will be returning..,,piles up and broke me out sadly this foundation is very difficult to blend it starts to pile up after the first application it sadly also broke me out pretty bad it added some of the cystic acne on my cheek and i m sure it s the niacinamide that s in it i will be returning
Armani Mini Luminous Silk,,No,,,,,,,,"light medium, neutral olive Beautiful true neutral olive foundation. I use to use the 5.25 and that was always a little pink for me. So glad this one does lean true neutral olive. So glad I tried it. It’s less satin then the other formula over skin care",,light medium neutral olive beautiful true neutral olive foundation i use to use the and that was always a little pink for me so glad this one does lean true neutral olive so glad i tried it it s less satin then the other formula over skin care
Armani Mini Luminous Silk,1.0,No,1 d ago,,,,Combination,Fair,Blue,1 d ago New formulation is bunk New formulation is terrible. I was sooo happy with the old one. Tried the new one in store and it's more watery and lighter coverage. Super disappointing.,1.0,d ago new formulation is bunk new formulation is terrible i was sooo happy with the old one tried the new one in store and it s more watery and lighter coverage super disappointing
Armani Mini Luminous Silk,,No,,,,,,,,New formulation is bunk New formulation is terrible. I was sooo happy with the old one. Tried the new one in store and it's more watery and lighter coverage. Super disappointing.,,new formulation is bunk new formulation is terrible i was sooo happy with the old one tried the new one in store and it s more watery and lighter coverage super disappointing
Armani Mini Luminous Silk,1.0,Yes,2 d ago,,,,Oily,,,"fair, neutral golden I was worried about the color match since I wore 1.5 in the old formula. Well, the color I picked seemed ok (shade 2) but the formula is noticeably more thick and dry on my skin. And I have combo/oily skin!",2.0,fair neutral golden i was worried about the color match since i wore in the old formula well the color i picked seemed ok shade but the formula is noticeably more thick and dry on my skin and i have combo oily skin
Armani Mini Luminous Silk,5.0,No,2 d ago,,,,Combination,Light Medium,Hazel,2 d ago Recommended super lightweight and glowy [I received this product in exchange for my honest review] goes on very smooth and doesnt peel. doesnt have a bad scent and i like that its a pump bottle instead of pour so it doesnt make a mess when applying. feels very lightweight on the face and not completely full coverage so i can still see my freckles,2.0,d ago recommended super lightweight and glowy i received this product in exchange for my honest review goes on very smooth and doesnt peel doesnt have a bad scent and i like that its a pump bottle instead of pour so it doesnt make a mess when applying feels very lightweight on the face and not completely full coverage so i can still see my freckles
Armani Mini Luminous Silk,,No,,,,,,,,super lightweight and glowy [I received this product in exchange for my honest review] goes on very smooth and doesnt peel. doesnt have a bad scent and i like that its a pump bottle instead of pour so it doesnt make a mess when applying. feels very lightweight on the face and not completely full coverage so i can still see my freckles,,super lightweight and glowy i received this product in exchange for my honest review goes on very smooth and doesnt peel doesnt have a bad scent and i like that its a pump bottle instead of pour so it doesnt make a mess when applying feels very lightweight on the face and not completely full coverage so i can still see my freckles
Armani Mini Luminous Silk,5.0,No,2 d ago,,,,Combination,Light Medium,Hazel,"2 d ago Recommended I love this foundation! [I received this product in exchange for my honest review] This foundation is great! I'm simply in love with it. It's light when it's on my face, and it builds easily. It doesn't feel greasy and doesn't look cakey. The smell is neutral too, which is great.",2.0,d ago recommended i love this foundation i received this product in exchange for my honest review this foundation is great i m simply in love with it it s light when it s on my face and it builds easily it doesn t feel greasy and doesn t look cakey the smell is neutral too which is great
