foundation_names,rating,verified_purchase,time_ago,shade,shade_depth,undertone,skin_type,skin_tone,eye_color,review_body,days_ago,clean_review_body
Milk Makeup Hydro Grip,5.0,Yes,3 d ago,,,,Combination,Light,Blue,"fair, neutral I’ve been trying to find a replacement for the Bare Minerals tint and the old Laura Mercier tinted moisturizer before they changed the formula a few years ago—this is it. Albeit doesn’t have spf but it makes up for it in the glow and coverage. A little goes a long way! I apply a tiny drop to my fingertips and apply with soft patting rather than pushing it around on a brush. It’s lasted all day without any powder to set it. There’s no fragrance, it hasn’t broken me out, the colour match is perfect. I feel itchy on my face after wearing makeup and can’t wait to take my makeup off at the end of the day, but that doesn’t happen with this! 10/10 Read more",3.0,fair neutral i ve been trying to find a replacement for the bare minerals tint and the old laura mercier tinted moisturizer before they changed the formula a few years ago this is it albeit doesn t have spf but it makes up for it in the glow and coverage a little goes a long way i apply a tiny drop to my fingertips and apply with soft patting rather than pushing it around on a brush it s lasted all day without any powder to set it there s no fragrance it hasn t broken me out the colour match is perfect i feel itchy on my face after wearing makeup and can t wait to take my makeup off at the end of the day but that doesn t happen with this read more
Milk Makeup Hydro Grip,2.0,Yes,4 d ago,,,,,,,"fair, neutral I found this coverage to be quite thick and patchy, The gel consistency just was not for me. Will be trying to return this product. Wasn’t easy to blend other products and it was quite sticky. Colour match was ok match was ok Read more",4.0,fair neutral i found this coverage to be quite thick and patchy the gel consistency just was not for me will be trying to return this product wasn t easy to blend other products and it was quite sticky colour match was ok match was ok read more
Milk Makeup Hydro Grip,5.0,Yes,5 d ago,,,,Combination,Light,Hazel,"fair, neutral I love this product!! It’s great for my sensitive skin!! So glowy and pretty!! It does tend to separate as the day goes on however, especially with setting spray… its not very long lasting… i definitely recommend non the least!",5.0,fair neutral i love this product it s great for my sensitive skin so glowy and pretty it does tend to separate as the day goes on however especially with setting spray its not very long lasting i definitely recommend non the least
Huda Beauty Easy Blur,5.0,Yes,3 d ago,,,,,,,Light-Medium skin with a neutral undertone This product actually does what it claims- gives the perfect blurring effect and a filter like finish. Highly recommended and i would surely repurchase.,3.0,light medium skin with a neutral undertone this product actually does what it claims gives the perfect blurring effect and a filter like finish highly recommended and i would surely repurchase
Huda Beauty Easy Blur,5.0,Yes,3 d ago,,,,,,,Fair skin with peachy-golden undertones Had help picking this out in store and it works great doesn’t even feel like I’m wearing cover up,3.0,fair skin with peachy golden undertones had help picking this out in store and it works great doesn t even feel like i m wearing cover up
Huda Beauty Easy Blur,5.0,No,5 d ago,,,,,,,Light skin with neutral undertones I’ve over 40 foundations from high end to drug store and this happens to be my favorite. It always gives me the most flawless and natural finish. I also love the no fuss packaging. It’s comes out easily and closes secure.,5.0,light skin with neutral undertones i ve over foundations from high end to drug store and this happens to be my favorite it always gives me the most flawless and natural finish i also love the no fuss packaging it s comes out easily and closes secure
Huda Beauty Easy Blur,5.0,Yes,7 d ago,,,,Oily,,,"Medium skin with cool undertones good foundation for oily skin, i found it very full coverage and easy to blend. the shade match is a little off but that might be my problem. it is good to use as a base for makeup you want to last all day.",7.0,medium skin with cool undertones good foundation for oily skin i found it very full coverage and easy to blend the shade match is a little off but that might be my problem it is good to use as a base for makeup you want to last all day
Huda Beauty Easy Blur,5.0,No,8 d ago,,,,Oily,Light Medium,Green,Light skin with golden undertones Every girl who loves makeup should try this product; it's long-lasting and has a unique finish. It comes in a very wide range of shades.,8.0,light skin with golden undertones every girl who loves makeup should try this product it s long lasting and has a unique finish it comes in a very wide range of shades
Huda Beauty Easy Blur,5.0,Yes,9 d ago,,,,Combination,Medium,Brown,Light-Medium skin with a pinky-beige undertone I have been using this foundation for a couple of weeks & my favorite part of this is the coverage and how easy it is to blend! This is a must try !,9.0,light medium skin with a pinky beige undertone i have been using this foundation for a couple of weeks my favorite part of this is the coverage and how easy it is to blend this is a must try
Charlotte Tilbury Hollywood Filter,,No,,,,,,,,Fair - Golden beige for light skin tones My favourite to use alone or under makeup. Makes my skin look so nice and glowy!,,fair golden beige for light skin tones my favourite to use alone or under makeup makes my skin look so nice and glowy
Charlotte Tilbury Hollywood Filter,,No,,,,,,,,Medium - Golden beige for medium skin tones Amazing product fs! Still learning makeup and using this with foundation make my still glowy.,,medium golden beige for medium skin tones amazing product fs still learning makeup and using this with foundation make my still glowy
Charlotte Tilbury Hollywood Filter,5.0,Yes,21 d ago,,,,,,,"Fair - Peachy beige for light skin tones I purchaed the flawless filter back in 2024, I've had to purchase it again since it expired. I use this every single time I go out and I still couldn't finish it. Yes it is pricey, but it will last you so so long.",21.0,fair peachy beige for light skin tones i purchaed the flawless filter back in i ve had to purchase it again since it expired i use this every single time i go out and i still couldn t finish it yes it is pricey but it will last you so so long
Charlotte Tilbury Hollywood Filter,5.0,No,,,,,,,,Fair - Warm peach for light to medium skin tones I am Loving the results of this product.. its gives amazing glow and shining on my face Love it and buy again 🥰 Buy Read more,,fair warm peach for light to medium skin tones i am loving the results of this product its gives amazing glow and shining on my face love it and buy again buy read more
Charlotte Tilbury Hollywood Filter,5.0,No,,,,,,,,Fair - Neutral beige for fair skin tones I love this. I just have this in my bag. Most of the time I will just use this without foundation. This doesn't cake easily and offers amazing glow. A little goes a long way.,,fair neutral beige for fair skin tones i love this i just have this in my bag most of the time i will just use this without foundation this doesn t cake easily and offers amazing glow a little goes a long way
Charlotte Tilbury Hollywood Filter,3.0,No,,,,,Combination,Light Medium,Green,"Fair - Golden beige for light skin tones It is a nice product, except you get such a small amount for a large bottle. So many products are now like this, watch the ml, it's very misleading and pricey for a small amount.",,fair golden beige for light skin tones it is a nice product except you get such a small amount for a large bottle so many products are now like this watch the ml it s very misleading and pricey for a small amount
Charlotte Tilbury Hollywood Filter,,No,7 d ago,,,,,,,Q: is this medium or light coverage? Asked 7 d ago by Namru A: light coverage Answered 5 d ago by amadeeaa Received free product,7.0,q is this medium or light coverage asked d ago by namru a light coverage answered d ago by amadeeaa received free product
Charlotte Tilbury Hollywood Filter,,No,5 d ago,,,,,,,A: light coverage Answered 5 d ago by amadeeaa Received free product,5.0,a light coverage answered d ago by amadeeaa received free product
Charlotte Tilbury Hollywood Filter,,No,5 d ago,,,,,,,light coverage Answered 5 d ago by amadeeaa Received free product,5.0,light coverage answered d ago by amadeeaa received free product
Charlotte Tilbury Hollywood Filter,2.0,Yes,5 d ago,,,,,,,"warm peach for light to medium skin tones this makes u look so greasy it surpases glowy, I would recommened the saei dewy gel its so much better",5.0,warm peach for light to medium skin tones this makes u look so greasy it surpases glowy i would recommened the saei dewy gel its so much better
Charlotte Tilbury Hollywood Filter,1.0,Yes,13 d ago,,,,,,,neutral caramel for tan skin tones Can’t even use the product it came broken once I open the box it was counselor everywhere!,13.0,neutral caramel for tan skin tones can t even use the product it came broken once i open the box it was counselor everywhere
Charlotte Tilbury Hollywood Filter,5.0,Yes,14 d ago,,,,,,,warm peach for light to medium skin tones I use 3-fair warm peach and I get complimented on how I look great and natural each time I wear it.,14.0,warm peach for light to medium skin tones i use fair warm peach and i get complimented on how i look great and natural each time i wear it
Charlotte Tilbury Hollywood Filter,2.0,Yes,16 d ago,,,,,,,golden beige for medium skin tones Like this product but hate the applicator.. so many other products can do this for the $$$ ELF for instance!!!,16.0,golden beige for medium skin tones like this product but hate the applicator so many other products can do this for the elf for instance
Charlotte Tilbury Hollywood Filter,5.0,Yes,22 d ago,,,,,,,neutral beige for fair skin tones perfect for a no makeup makeup look! also use as a primer!,22.0,neutral beige for fair skin tones perfect for a no makeup makeup look also use as a primer
Charlotte Tilbury Hollywood Filter,5.0,No,,,,,,,,warm peach for light to medium skin tones The Filter is amazing. On its own or as an addition to other foundation is compatible. Gives face a glow literally as well as coverage. I get compliments every time I use it.,,warm peach for light to medium skin tones the filter is amazing on its own or as an addition to other foundation is compatible gives face a glow literally as well as coverage i get compliments every time i use it
Charlotte Tilbury Hollywood Filter,2.0,No,,,,,,,,peachy beige for light skin tones VERY glowy. Too glowy for me. My face felt like it was shining. I have a round larger face so I felt like this emphasized that.,,peachy beige for light skin tones very glowy too glowy for me my face felt like it was shining i have a round larger face so i felt like this emphasized that
Charlotte Tilbury Hollywood Filter,4.0,No,,,,,,,,peachy beige for light skin tones Amazing product Amazing look horrible for your skin,,peachy beige for light skin tones amazing product amazing look horrible for your skin
Charlotte Tilbury Hollywood Filter,5.0,Yes,,,,,,,,peachy beige for light skin tones This tiny viny stole my heart. Super covering and shiny and looks naturally glowing.,,peachy beige for light skin tones this tiny viny stole my heart super covering and shiny and looks naturally glowing
Charlotte Tilbury Hollywood Filter,1.0,Yes,,,,,,,,neutral beige for fair skin tones i did not like this at all. it literally did nothing but make my face look greasy. the halo glow is so much better for a fraction of the price this was just a big no for me,,neutral beige for fair skin tones i did not like this at all it literally did nothing but make my face look greasy the halo glow is so much better for a fraction of the price this was just a big no for me
ITCosmetics CC+ Cream,3.0,Yes,4 d ago,,,,Combination,Fair,Hazel,"very fair complexion with neutral peach undertone i have normal combination skin and was using shade fair before. since the reformulation i am now fair porcelain, and my complexion is light with neutral undertones. i used this product for a while and it was 5 stars at first. it made my skin feel hydrated, smooth, and healthy, and i genuinely loved it. since the reformulation though, it is not the same. it now goes on and makes my face look dry and scaley, which is the complete opposite of what it used to do. it is really disappointing because it used to be such a reliable part of my routine. i hate when they ruin a good thing. if it aint broke dont fix it. unfortunately i will be returning this and looking for a new winter product for my face. Read more",4.0,very fair complexion with neutral peach undertone i have normal combination skin and was using shade fair before since the reformulation i am now fair porcelain and my complexion is light with neutral undertones i used this product for a while and it was stars at first it made my skin feel hydrated smooth and healthy and i genuinely loved it since the reformulation though it is not the same it now goes on and makes my face look dry and scaley which is the complete opposite of what it used to do it is really disappointing because it used to be such a reliable part of my routine i hate when they ruin a good thing if it aint broke dont fix it unfortunately i will be returning this and looking for a new winter product for my face read more
ITCosmetics CC+ Cream,5.0,No,5 d ago,,,,,,,taupe shade with warm undertones I am buying this product for the fourth time. makes my skin smooth and protects it from the sun,5.0,taupe shade with warm undertones i am buying this product for the fourth time makes my skin smooth and protects it from the sun
ITCosmetics CC+ Cream,1.0,No,8 d ago,,,,,,,cool to neutral undertones This was far too dry and cakey for me. I would have returned it but I bought it in a store 2.5hrs away and had no chance before the time was up.,8.0,cool to neutral undertones this was far too dry and cakey for me i would have returned it but i bought it in a store hrs away and had no chance before the time was up
ITCosmetics CC+ Cream,5.0,No,9 d ago,,,,Combination,Light,Brown,"ivory shade with warm undertones [I received this product in exchange for my honest review] My go to foundation in the summer and anytime i want no fuss sun protection plus foundation. Its full coverage and stays put with out primer which i love, because im not always in the mood for all those layers 😅😅. I even wore it to the water park and still had on makeup at the end. Also it plays well with other makeup products and never pills on me. Definitly one of my favorites for sure. Read more",9.0,ivory shade with warm undertones i received this product in exchange for my honest review my go to foundation in the summer and anytime i want no fuss sun protection plus foundation its full coverage and stays put with out primer which i love because im not always in the mood for all those layers i even wore it to the water park and still had on makeup at the end also it plays well with other makeup products and never pills on me definitly one of my favorites for sure read more
ITCosmetics CC+ Cream,1.0,Yes,12 d ago,,,,Normal,Fair,Blue,very fair warm with golden undertones After using this product just twice found it’s very cakey not smooth like my other brands I have used I went to return to Sephora and because it was purchased in a kohls store and more than 30 days would not even give store credit back to ulta I go never will I purchase from Sephora again,12.0,very fair warm with golden undertones after using this product just twice found it s very cakey not smooth like my other brands i have used i went to return to sephora and because it was purchased in a kohls store and more than days would not even give store credit back to ulta i go never will i purchase from sephora again
ITCosmetics CC+ Cream,5.0,Yes,14 d ago,,,,,,,"ivory pink shade with cool undertones Great for daily use, it gives a good coverage without feeling heavy in your skin.",14.0,ivory pink shade with cool undertones great for daily use it gives a good coverage without feeling heavy in your skin
ITCosmetics CC+ Cream,5.0,Yes,1 d ago,,,,,,,"very fair complexion with warm yellow undertone Love this! What I love most is I only need one pump on my make up brush and I easily can cover my full face! Definitely full coverage, but natural looking. I am 40 and so I am getting more wrinkles but still have occasional break outs. It covers blemishes and dark circles without settled into fine lines and has a radiant but natural finish.",1.0,very fair complexion with warm yellow undertone love this what i love most is i only need one pump on my make up brush and i easily can cover my full face definitely full coverage but natural looking i am and so i am getting more wrinkles but still have occasional break outs it covers blemishes and dark circles without settled into fine lines and has a radiant but natural finish
ITCosmetics CC+ Cream,4.0,No,2 d ago,,,,,Light,,"ivory pink shade with cool undertones I have dry acne prone skin. This will cover anything, it’s my go to for a bad skin day. It is very thick though so one pump maximum for your whole face or it’ll look like a greasy mess. It hasn’t broken me out which is rare for me, and it’s long wearing. It can cling to some dry patches and fine lines if you use too much product.",2.0,ivory pink shade with cool undertones i have dry acne prone skin this will cover anything it s my go to for a bad skin day it is very thick though so one pump maximum for your whole face or it ll look like a greasy mess it hasn t broken me out which is rare for me and it s long wearing it can cling to some dry patches and fine lines if you use too much product
ITCosmetics CC+ Cream,3.0,No,6 d ago,,,,,,,deep complexion with warm golden undertone Recommend by the representative after using the facial scan on me. Did not give me the full coverage that I desired.,6.0,deep complexion with warm golden undertone recommend by the representative after using the facial scan on me did not give me the full coverage that i desired
ITCosmetics CC+ Cream,3.0,Yes,7 d ago,,,,Dry,Light,Blue,"ivory pink shade with cool undertones very nice. however compared to the one I bought in 2019, it is much smaller. kinda feel ripped off. I will be looking for a new one that is similar",7.0,ivory pink shade with cool undertones very nice however compared to the one i bought in it is much smaller kinda feel ripped off i will be looking for a new one that is similar
ITCosmetics CC+ Cream,5.0,Yes,14 d ago,,,,,,,"cool to neutral undertones Exceptional, it literally feels like my skin color but with a natural filer, the product I’ve been searching for years that would have a high SPF, coverage and be hydrating to my skin.✨",14.0,cool to neutral undertones exceptional it literally feels like my skin color but with a natural filer the product i ve been searching for years that would have a high spf coverage and be hydrating to my skin
ITCosmetics CC+ Cream,1.0,No,14 d ago,,,,Combination,Light,Green,ivory pink shade with cool undertones I used to love love love this product but the shades changed. It’s so dark and orange now,14.0,ivory pink shade with cool undertones i used to love love love this product but the shades changed it s so dark and orange now
Danessa Myricks Beauty Yummy,5.0,Yes,2 h ago,,,,,,,MEDIUM WITH NEUTRAL UNDERTONES I’ve worn this two days in a row so far and my face still looks blurred at the end of the day! My skin is usually very oily but this balm is basically witchcraft. 10/10 recommend!!!!,0.08333333333333333,medium with neutral undertones i ve worn this two days in a row so far and my face still looks blurred at the end of the day my skin is usually very oily but this balm is basically witchcraft recommend
Danessa Myricks Beauty Yummy,5.0,No,0 d ago,,,,,,,DARK WITH NEUTRAL OLIVE UNDERTONES I absolutely love this product. I’ve talked three friends into purchasing after they have seen my skin. It literally feels like putting butter on your face without the shine. I’ll never use foundation again.,0.0,dark with neutral olive undertones i absolutely love this product i ve talked three friends into purchasing after they have seen my skin it literally feels like putting butter on your face without the shine i ll never use foundation again
Danessa Myricks Beauty Yummy,,No,,,,,,,,"colorless/translucent Whoa this product is unlike any other, tried the mini and going back for a full size. My Tzone is egregiously oily but this somehow keeps it in check and makes makeup last all day, even in 90 degree LA. It’s magic.",,colorless translucent whoa this product is unlike any other tried the mini and going back for a full size my tzone is egregiously oily but this somehow keeps it in check and makes makeup last all day even in degree la it s magic
Danessa Myricks Beauty Yummy,1.0,No,1 d ago,,,,,,,LIGHT TO MEDIUM WITH WARM UNDERTONES I have combo skin and was so excited to use this product since it had so much hype from social media and also reviews. But after trying on the second day it broke me out so bad and made my face feel oily and cakey. Idefinitely definitely not be repurchasing this items,1.0,light to medium with warm undertones i have combo skin and was so excited to use this product since it had so much hype from social media and also reviews but after trying on the second day it broke me out so bad and made my face feel oily and cakey idefinitely definitely not be repurchasing this items
Danessa Myricks Beauty Yummy,3.0,No,1 d ago,,,,Combination,Tan,Brown,"TAN TO DARK WITH WARM UNDERTONES When you do your full skin care routine and you apply this on, it’s fine. But after two hours, the formula becomes a little dry and patchy. I say it’s good for few spots here and there and I mean like two or three spots, but would not recommend full face of make uprecommend as full face.",1.0,tan to dark with warm undertones when you do your full skin care routine and you apply this on it s fine but after two hours the formula becomes a little dry and patchy i say it s good for few spots here and there and i mean like two or three spots but would not recommend full face of make uprecommend as full face
Danessa Myricks Beauty Yummy,5.0,No,1 d ago,,,,Combination,Light Medium,Brown,"colorless/translucent I’ve been using this product for a week now, day one was enough for me. I am extremely oily on my T-zone, makeup always separated after a few hours from how oily I would get until I tried this product. I don’t know what magic is in this product but it keeps my makeup matte and smooth for the whole day. I’m still shocked I found a product that works for me. Now if you apply to much of this product you’re makeup will look weird as it will look dry, so use enough for to apply an even layer don’t over do it. Read more",1.0,colorless translucent i ve been using this product for a week now day one was enough for me i am extremely oily on my t zone makeup always separated after a few hours from how oily i would get until i tried this product i don t know what magic is in this product but it keeps my makeup matte and smooth for the whole day i m still shocked i found a product that works for me now if you apply to much of this product you re makeup will look weird as it will look dry so use enough for to apply an even layer don t over do it read more
Danessa Myricks Beauty Yummy,5.0,Yes,1 d ago,,,,,,,MEDIUM WITH COOL UNDERTONES love this!! it makes my skin soooo smooth and evens out my skintone! very buildable coverage as well,1.0,medium with cool undertones love this it makes my skin soooo smooth and evens out my skintone very buildable coverage as well
Danessa Myricks Beauty Yummy,3.0,Yes,1 d ago,,,,,,,MEDIUM WITH NEUTRAL UNDERTONES I was color matched by an associate and it was way off. First I asked her to disinfect the makeup surface and was told no that it would ruin the product. Not true. Returned product.,1.0,medium with neutral undertones i was color matched by an associate and it was way off first i asked her to disinfect the makeup surface and was told no that it would ruin the product not true returned product
Danessa Myricks Beauty Yummy,5.0,No,3 d ago,,,,,,,"TAN WITH WARM OLIVE UNDERTONES Surprised with how much a like this, I have combo skin that leans dry and significant hyperpigmentation. This covers so well, and it feels really light though you might question it by its consistency. I sometimes mix it with some foundation",3.0,tan with warm olive undertones surprised with how much a like this i have combo skin that leans dry and significant hyperpigmentation this covers so well and it feels really light though you might question it by its consistency i sometimes mix it with some foundation
Danessa Myricks Beauty Yummy,5.0,No,5 d ago,,,,,,,"colorless/translucent I have been using this for about three months on my T-zone, and I absolutely love the finish it leaves for my foundation. Using the universal shade, I noticed a real difference on my skins finish in the photos I take. I pair this with the Anastasia BH setting spray and its chefs kiss. I think once this finishes I will try to match this with my skin and follow up with another review! Read more",5.0,colorless translucent i have been using this for about three months on my t zone and i absolutely love the finish it leaves for my foundation using the universal shade i noticed a real difference on my skins finish in the photos i take i pair this with the anastasia bh setting spray and its chefs kiss i think once this finishes i will try to match this with my skin and follow up with another review read more
Danessa Myricks Beauty Yummy,5.0,Yes,6 d ago,,,,Combination,Tan,Hazel,"colorless/translucent I have oily skin, this is exactly what I needed. I tried with a brush, but I find it’s best for me to scoop a tiny bit out and use my fingers to spread it over my t zone, then pat in with a powder puff. It blurs and takes down shine without being too flat or dry looking. Lasts all day. No shine after working out either.",6.0,colorless translucent i have oily skin this is exactly what i needed i tried with a brush but i find it s best for me to scoop a tiny bit out and use my fingers to spread it over my t zone then pat in with a powder puff it blurs and takes down shine without being too flat or dry looking lasts all day no shine after working out either
Danessa Myricks Beauty Yummy,5.0,Yes,6 d ago,,,,Oily,,,"LIGHT TO MEDIUM WITH WARM UNDERTONES Second time purchasing it and very happy with this product. I’m oily and this works wonders for me. Even better if used with the danessa myricks setting spray! I used it by itself or as a primer. Great coverage, everything you can ask for a foundation/primer",6.0,light to medium with warm undertones second time purchasing it and very happy with this product i m oily and this works wonders for me even better if used with the danessa myricks setting spray i used it by itself or as a primer great coverage everything you can ask for a foundation primer
Nars Radiant Longwear,1.0,Yes,5 d ago,,,,,,,"Light 4 - L4 - light with neutral undertones I used it twice but it was super dry out, cakey and show all the dryness of the skin. Not work for me",5.0,light l light with neutral undertones i used it twice but it was super dry out cakey and show all the dryness of the skin not work for me
Nars Radiant Longwear,5.0,Yes,9 d ago,,,,,,,"Medium 4 - M4 - medium to medium-deep with warm undertones, and a golden tone I really like this foundation. The coverage is very good and it makes my skin look smooth and natural. It blends easily and does not feel heavy on the skin. The shade Barcelona matches my skin tone well and gives a radiant finish. It also lasts many hours without looking cakey. I would definitely recommend this foundation.",9.0,medium m medium to medium deep with warm undertones and a golden tone i really like this foundation the coverage is very good and it makes my skin look smooth and natural it blends easily and does not feel heavy on the skin the shade barcelona matches my skin tone well and gives a radiant finish it also lasts many hours without looking cakey i would definitely recommend this foundation
Nars Radiant Longwear,5.0,No,14 d ago,,,,Dry,Light,Blue,"Light 2 - L2 - very light with neutral undertones I HIGHLY recommend watching videos or reading more about the NARS philosophy, as this product needs to be applied with your fingers to get the right slip and finish—it will look bad when applied with a brush because you’ll wind up using too much product! 1 pump is usually enough for me.",14.0,light l very light with neutral undertones i highly recommend watching videos or reading more about the nars philosophy as this product needs to be applied with your fingers to get the right slip and finish it will look bad when applied with a brush because you ll wind up using too much product pump is usually enough for me
Nars Radiant Longwear,5.0,No,16 d ago,,,,,,,"Medium 2 - M2 - medium with neutral undertones, and a peach tone I find myself coming back to this foundation, I keep my winter and summer shade on hand at allll times",16.0,medium m medium with neutral undertones and a peach tone i find myself coming back to this foundation i keep my winter and summer shade on hand at allll times
Nars Radiant Longwear,1.0,No,8 d ago,,,,Dry,Light Medium,Brown,"Medium 2.5 - M2.5 - medium with warm undertones, and a peach tone I looks very yellow on the skin and oxidizes, very cakey and then dries to make skin look flaky. I first bought the wrong shade and then tried it again with another shade and I was still disappointed the same way.",8.0,medium m medium with warm undertones and a peach tone i looks very yellow on the skin and oxidizes very cakey and then dries to make skin look flaky i first bought the wrong shade and then tried it again with another shade and i was still disappointed the same way
Nars Radiant Longwear,1.0,Yes,11 d ago,,,,Normal,Light,Brown,Light 4.5 - L4.5 - light with cool undertones Listen to the reviews. This is so cakey and emphasizes texture. Also it slides off your face and looks so gross. Hated it.,11.0,light l light with cool undertones listen to the reviews this is so cakey and emphasizes texture also it slides off your face and looks so gross hated it
Nars Radiant Longwear,5.0,No,16 d ago,,,,,,,"Dark 2 - D2 - deep with warm undertones, and an olive tone Exactly full coverage, while simultaneously keeping your skin appear healthy and natural.",16.0,dark d deep with warm undertones and an olive tone exactly full coverage while simultaneously keeping your skin appear healthy and natural
Nars Radiant Longwear,5.0,No,24 d ago,,,,Oily,Light,Green,Light 2 - L2 - very light with neutral undertones Im obsessed with how this feels on my skin. Its so lightweight yet so full coverage and I never had to touch up my makeup throughout the day! Perfect for uneven skintones or acne prone skin types. I loveit!,24.0,light l very light with neutral undertones im obsessed with how this feels on my skin its so lightweight yet so full coverage and i never had to touch up my makeup throughout the day perfect for uneven skintones or acne prone skin types i loveit
Nars Radiant Longwear,5.0,No,24 d ago,,,,Dry,,,Light 4 - L4 - light with neutral undertones overall super nice foundation even on my dry skin! the only issue i have with it is near my mouth area were it does seem to separate a little? other than that that it stays in place throughout the day,24.0,light l light with neutral undertones overall super nice foundation even on my dry skin the only issue i have with it is near my mouth area were it does seem to separate a little other than that that it stays in place throughout the day
Nars Radiant Longwear,1.0,Yes,24 d ago,,,,Combination,Fair,Brown,Light 4 - L4 - light with neutral undertones I really wanted to like this product :( It makes me breakout with small pimples everywhere!,24.0,light l light with neutral undertones i really wanted to like this product it makes me breakout with small pimples everywhere
Sephora Best Skin Ever,,No,27 d ago,,,,,,,"Q: I recently bought this product but when I put it on, it looks terrible on my face. Is there something I should be put on before I put this on? I am not happy with it at all ￼ Asked 27 d ago A: skincare, hydration, sunscreen... this goes on beautifully on my mature skin, satin finish, natural looking, don't put on to much! Answered 13 d ago by PrimaDina 3 more answers﻿",27.0,q i recently bought this product but when i put it on it looks terrible on my face is there something i should be put on before i put this on i am not happy with it at all asked d ago a skincare hydration sunscreen this goes on beautifully on my mature skin satin finish natural looking don t put on to much answered d ago by primadina more answers
Sephora Best Skin Ever,,No,13 d ago,,,,,,,"A: skincare, hydration, sunscreen... this goes on beautifully on my mature skin, satin finish, natural looking, don't put on to much! Answered 13 d ago by PrimaDina 3 more answers﻿",13.0,a skincare hydration sunscreen this goes on beautifully on my mature skin satin finish natural looking don t put on to much answered d ago by primadina more answers
Sephora Best Skin Ever,,No,13 d ago,,,,,,,"skincare, hydration, sunscreen... this goes on beautifully on my mature skin, satin finish, natural looking, don't put on to much! Answered 13 d ago by PrimaDina 3 more answers﻿",13.0,skincare hydration sunscreen this goes on beautifully on my mature skin satin finish natural looking don t put on to much answered d ago by primadina more answers
Sephora Best Skin Ever,1.0,No,14 h ago,,,,Combination,Light,Hazel,"light with pink undertones After using the new formulated version of this product I can tell you that it is the worst foundation I have ever used. It is so drying I had to mix my moisturizer with it. It also has a. Unpleasant scent and did not apply very well Sephora should have left well enough alone! Very disappointing! Shane on you, Sephora.",0.5833333333333334,light with pink undertones after using the new formulated version of this product i can tell you that it is the worst foundation i have ever used it is so drying i had to mix my moisturizer with it it also has a unpleasant scent and did not apply very well sephora should have left well enough alone very disappointing shane on you sephora
Sephora Best Skin Ever,3.0,Yes,21 h ago,,,,Dry,Light,Blue,light with pink undertones I can't tell if I need to practice more or if this foundation doesn't look good on me,0.875,light with pink undertones i can t tell if i need to practice more or if this foundation doesn t look good on me
Sephora Best Skin Ever,3.0,Yes,2 d ago,,,,Combination,Light Medium,Brown,"light with neutral undertones My go to foundation, but this new formula is terrible in comparison! Not only did they get rid of my shade (I was 15.5N previously) but this one is somehow slightly darker than the old one? Not to mention how DRY it is. I have never had foundation flake in my life, and I don't wear any powder unless to touch up. These days my ""touch up"" is wiping this stuff off my face because it's flaking so much. That being said, it works. I've used it for 5 years now, but this formula is making me consider switching. Read more",2.0,light with neutral undertones my go to foundation but this new formula is terrible in comparison not only did they get rid of my shade i was n previously but this one is somehow slightly darker than the old one not to mention how dry it is i have never had foundation flake in my life and i don t wear any powder unless to touch up these days my touch up is wiping this stuff off my face because it s flaking so much that being said it works i ve used it for years now but this formula is making me consider switching read more
Sephora Best Skin Ever,4.0,Yes,3 d ago,,,,Combination,Deep,Brown,deep with yellow undertones love this color on me but I don't particularly like the dry look,3.0,deep with yellow undertones love this color on me but i don t particularly like the dry look
Sephora Best Skin Ever,4.0,Yes,5 d ago,,,,Combination,Fair,Brown,very light with neutral undertones perfect color match for me and looks natural. my go to foundation,5.0,very light with neutral undertones perfect color match for me and looks natural my go to foundation
Sephora Best Skin Ever,1.0,Yes,6 d ago,,,,Normal,Light Medium,Brown,"tan with pink undertones This used to be a great product but as others have said, the new colors don’t match the old numbers. I replenished my stock with two bottles which are useless since now they’re too dark. How disappointing.",6.0,tan with pink undertones this used to be a great product but as others have said the new colors don t match the old numbers i replenished my stock with two bottles which are useless since now they re too dark how disappointing
Sephora Best Skin Ever,,No,,,,,,,,"tan with olive undertones I have been using the Best Skin ever for years now but this new formula is just not great. Dries quickly, doesn’t spread as nice, colors seem off and there is a smell to the product. The old formula and colors was much better.",,tan with olive undertones i have been using the best skin ever for years now but this new formula is just not great dries quickly doesn t spread as nice colors seem off and there is a smell to the product the old formula and colors was much better
Sephora Best Skin Ever,,No,,,,,,,,medium with yellow undertones This used to be my favorite foundation but ever since they changed formula it’s become difficult to find the perfect match. The quality and price point used to be great but now I’d rather purchase a different brand and pay more. different,,medium with yellow undertones this used to be my favorite foundation but ever since they changed formula it s become difficult to find the perfect match the quality and price point used to be great but now i d rather purchase a different brand and pay more different
